,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
135,배제성,20K,12,12,0,0,12,5,2,0,0,70.0,33,32,309,73,17,0,7,33,0,1,46,1,4,4.11,5.04,1.51,117.4,94.4,1.37,0.89
136,플렉센,20두,12,12,0,0,12,4,3,0,0,64.0,29,27,270,61,11,0,3,21,2,1,59,0,3,3.80,3.30,1.28,123.4,142.2,1.39,0.01
137,노경은,20롯,12,12,1,0,11,4,3,0,0,63.0,36,34,262,65,13,1,10,15,1,0,35,0,2,4.86,5.22,1.27,100.2,92.6,0.59,-0.53
138,김진성,20N,12,12,0,0,0,0,0,0,0,11.0,6,6,49,14,2,0,2,2,0,0,17,0,1,4.91,3.42,1.46,99.8,144.1,0.17,-0.07
139,백정현,20삼,11,11,0,0,11,4,4,0,0,59.0,43,34,258,67,15,2,13,17,0,1,46,0,1,5.19,5.82,1.42,96.1,85.8,0.03,-0.87
140,김민,20K,11,11,0,0,6,3,3,0,0,29.1,29,26,146,32,2,0,4,22,0,4,19,0,3,7.98,6.74,1.84,60.6,70.4,-0.71,-0.98
141,홍성무,20N,11,11,0,0,0,0,0,1,0,15.0,22,21,82,21,3,0,3,13,0,1,12,0,1,12.60,7.40,2.27,38.9,65.7,-0.51,-0.12
142,김기훈,20K,11,11,0,0,1,0,1,0,1,15.0,9,9,63,16,1,0,1,4,0,1,15,0,1,5.40,3.47,1.33,91.9,142.0,0.19,-0.42
143,고우석,20L,11,11,0,0,0,0,0,4,1,9.0,10,8,48,15,6,0,1,4,0,1,8,0,2,8.00,4.93,2.11,58.5,94.6,-0.39,0.25
144,이준영,20K,11,11,0,0,0,0,1,0,1,5.0,9,9,33,14,3,1,1,5,0,0,3,0,0,16.20,8.00,3.80,30.6,61.1,-0.33,-0.39
145,정찬헌,20L,10,10,1,1,10,5,2,0,0,61.1,32,25,259,62,11,0,8,18,0,2,53,0,3,3.67,4.54,1.30,127.5,102.1,0.60,0.08
146,이민호,20L,10,10,0,0,8,3,2,0,0,51.0,16,14,221,41,6,0,1,23,1,7,37,1,3,2.47,4.11,1.26,189.3,115.7,1.81,0.75
147,샘슨,20롯,10,10,0,0,10,3,6,0,0,49.0,38,34,229,73,9,1,5,13,0,2,35,0,4,6.24,4.42,1.76,77.9,109.2,-0.47,-0.84
148,최성영,20N,10,10,0,0,9,2,1,0,0,48.1,27,26,211,47,12,0,8,26,0,2,20,0,2,4.84,6.66,1.51,101.2,72.9,0.54,-0.91
149,채드벨,20한,10,10,0,0,10,0,7,0,0,45.1,43,40,220,62,10,0,8,25,1,3,34,0,3,7.94,6.18,1.92,60.3,78.4,-0.77,-1.58
150,장민재,20한,10,10,0,0,6,2,4,0,0,28.2,28,28,146,53,12,2,4,6,0,2,18,0,1,8.79,4.99,2.06,54.5,96.9,-0.53,-1.50
151,김주한,20S,10,10,0,0,6,0,6,0,0,27.2,25,21,135,34,5,0,3,14,0,7,10,0,4,6.83,6.56,1.74,70.2,74.2,-0.58,-1.42
152,김영규,20N,10,10,0,0,4,0,1,0,1,25.1,23,21,116,38,5,0,8,4,0,0,18,1,2,7.46,6.76,1.66,65.7,72.7,-0.45,-0.55
153,조영건,20키,10,10,0,0,6,1,1,0,0,22.0,18,17,106,26,5,0,4,16,0,1,10,1,0,6.95,7.37,1.91,68.2,63.8,-0.41,-0.96
